name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
유리,1인샵 | 로미로미 | 스웨디시,서울특별시 강남구 대치동 선릉로,강남구,서울특별시 강남구,37.510177,127.042985,False,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보3분,f_clean_naviya.csv
보희,1인샵 | 스웨디시,서울특별시 강남구 역삼동 623-22 테헤란로13길 65,강남구,서울특별시 강남구,37.5074089,127.0580262,True,11230.0,,,서울특별시 강남구 역삼동 623-22 (테헤란로13길 65),f_clean_naviya.csv
알로,1인샵,서울특별시 강남구 역삼동,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동,f_clean_naviya.csv
J테라피,1인샵 | 테라피,서울특별시 서초구 언남7길 8,서초구,서울특별시 서초구,37.473351,127.0418881,True,11220.0,,,양재시민의숲역 2번출구 도보7분,f_clean_naviya.csv
솜사탕스웨디시,로미로미 | 스웨디시 | 테라피,서울특별시 강남구 대치동 890-54 테헤란로64길 13,강남구,서울특별시 강남구,37.5037597,127.0512298,True,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보5분,f_clean_naviya.csv
솜사탕,1인샵,서울특별시 강남구 역삼동,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동,f_clean_naviya.csv
인스타스파,,서울특별시 송파구 잠실동 189-4 백제고분로7길 28-17,송파구,서울특별시 송파구,37.5041765,127.087303,True,11240.0,잠실새내역,잠실새내역 4번출구,잠실새내역 4번출구 도보5분,f_clean_naviya.csv
수정,1인샵,서울특별시 서초구 서초대로73길 54신논현역 7번출구 도보4분,서초구,서울특별시 서초구,37.50204430000001,127.0240125,True,11220.0,논현역,논현역 7번출구,서울특별시 서초구 서초대로73길 54신논현역 7번출구 도보4분,f_clean_naviya.csv
마티니,1인샵,서울특별시 서초구 잠원동 신반포로,서초구,서울특별시 서초구,37.5157286,127.0194364,False,11220.0,신사역,신사역 4번출구,신사역 4번출구 도보3분 (홈샵: 서울),f_clean_naviya.csv
씨애틀,1인샵 | 스웨디시 | 테라피,서울특별시 서초구 방배동 서초대로,서초구,서울특별시 서초구,37.486116,126.9824065,False,11220.0,이수역,이수역 3번출구,이수역 3번출구 도보2분,f_clean_naviya.csv
제시,1인샵,서울특별시 송파구 문정동 충민로,송파구,서울특별시 송파구,37.47855999,127.1258271,False,11240.0,장지역,장지역 4번출구,장지역 4번출구 도보7분,f_clean_naviya.csv
포시즌왁싱,1인샵,서울특별시 강남구 역삼동 683-39 선릉로 107길 7,강남구,서울특별시 강남구,37.5089434,127.0436686,True,11230.0,,,서울특별시 강남구 역삼동 683-39(선릉로 107길 7),f_clean_naviya.csv
프리지아,1인샵 | 테라피,서울특별시 서초구 효령로79길 1,서초구,서울특별시 서초구,37.4899085,127.0302041,True,11220.0,강남역,강남역 5번출구,강남역 5번출구 도보10분,f_clean_naviya.csv
JJ 포맨,테라피,서울특별시 강남구 봉은사로1길 37,강남구,서울특별시 강남구,37.5071336,127.0239866,True,11230.0,논현역,논현역 3번출구,신논현역 3번출구 도보 4분,f_clean_naviya.csv
현아,1인샵,서울특별시 서초구 서초동 1337-3 효령로77길 30,서초구,서울특별시 서초구,37.4916485,127.0289555,True,11220.0,강남역,강남역 5번출구,강남역 5번출구 도보7분,f_clean_naviya.csv
효리,1인샵,서울특별시 강남구 대치동,강남구,서울특별시 강남구,37.50459467,127.0500678,False,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보1분(올리브영 사거리),f_clean_naviya.csv
지우,1인샵 | 스웨디시,서울특별시 강남구 논현동 강남대로,강남구,서울특별시 강남구,37.50987181,127.0222392,False,11230.0,논현역,논현역 3번출구,신논현역 3번출구 도보3분,f_clean_naviya.csv
스카이,1인샵 | 테라피,서울특별시 강남구 신사동 524-13 강남대로162길 45,강남구,서울특별시 강남구,37.5090222,127.0227614,True,11230.0,신사역,신사역 8번출구,신사역 8번출구 도보7분,f_clean_naviya.csv
솔지,1인샵 | 마사지,서울특별시 강남구 테헤란로2길 35,강남구,서울특별시 강남구,37.4960514,127.0300831,True,11230.0,,,서울특별시 강남구 역삼동 826-44,f_clean_naviya.csv
청담스웨디시,스웨디시,서울특별시 송파구 백제고분로 116,송파구,서울특별시 송파구,37.5064154,127.0798494,True,11240.0,종합운동장역,종합운동장역 9번출구,종합운동장역 9번출구 도보10분,f_clean_naviya.csv
카스탈리아,,서울특별시 강남구 언주로150길 14,강남구,서울특별시 강남구,37.5210154,127.0355075,True,11230.0,,,,f_clean_naviya.csv
선물에스테틱,1인샵,서울특별시 송파구 오금로11길 65,송파구,서울특별시 송파구,37.5152631,127.111195,True,11240.0,한성백제역,한성백제역 1번출구,한성백제역 1번출구 도보4분,f_clean_naviya.csv
다솜,1인샵 | 테라피,서울특별시 송파구 신천동,송파구,서울특별시 송파구,37.51490972,127.1040773,False,11240.0,잠실역,잠실역 9번출구,잠실역 9번출구 도보5분,f_clean_naviya.csv
